ID,X,Y,Z,PCI,RSRP(dBm)
31881664,801118.09,349183.15,1.5,2,-103.7155
31881665,801128.68,349192.34,1.5,2,-104.585
31881666,801139.23,349201.57,1.5,2,-103.7017
31881667,801149,349211.6,1.5,2,-102.3622
31881668,801159.33,349221.07,1.5,2,-103.9575
31881669,801169.02,349231.2,1.5,2,-104.5575
31881670,801179.49,349240.52,1.5,2,-103.286
31881671,801187.69,349251.62,1.5,2,-102.2558
31881672,801199.68,349257.28,1.5,2,-103.0868
31881673,801212.62,349252.41,1.5,2,-99.5555
31881674,801223.07,349243.14,1.5,2,-99.32262
31881675,801232.73,349232.99,1.5,2,-98.06059
31881676,801243.26,349223.78,1.5,2,-102.7301
31881677,801304.72,349194.52,1.5,2,-95.77254
31881678,801313.29,349183.57,1.5,2,-94.22353
31881679,801321.24,349178.55,1.5,2,-99.18433
31881680,801322.78,349181.15,1.5,2,-100.6343
31881681,801325.26,349194.9,1.5,2,-97.83182
31881682,801327.04,349208.77,1.5,2,-98.33121
31881683,801330.68,349222.27,1.5,2,-98.68324
31881684,801331.57,349235.43,1.5,2,-99.06702
31881685,801329.46,349249.15,1.5,2,-101.3457
31881686,801324.83,349262.23,1.5,2,-101.1943
31881687,801319.43,349274.55,1.5,2,-102.7032
31881688,801315.12,349287.52,1.5,2,-101.7954
31881689,801312.95,349300.95,1.5,2,-103.2509
31881690,801309.61,349314.52,1.5,2,-100.6064
31881691,801306.75,349328.24,1.5,2,-101.8874
31881692,801306.32,349341.99,1.5,2,-104.7962
31881693,801307.92,349355.87,1.5,2,-105.0565
31881694,801309.52,349369.75,1.5,2,-105.1163
31881695,801309.07,349383.74,1.5,2,-105.6363
31881696,801307.91,349397.67,1.5,2,-104.9385
31881697,801304.86,349411.35,1.5,2,-104.1322
31881698,801326.41,349402.38,1.5,2,-105.6105
31881699,801327.44,349388.5,1.5,2,-105.6721
31881700,801324.79,349375.41,1.5,2,-105.6099
31881701,801323.86,349361.8,1.5,2,-105.3665
31881702,801321.46,349348.13,1.5,2,-105.5755
31881703,801318.39,349334.53,1.5,2,-105.0694
31881704,801314.76,349321.04,1.5,2,-104.703
31881705,801310.16,349307.93,1.5,2,-100.5867
31881706,801304.5,349295.23,1.5,2,-101.0633
31881707,801302.54,349281.48,1.5,2,-99.9518
31881708,801299.45,349267.89,1.5,2,-100.833
31881709,801302.47,349255.11,1.5,2,-100.0274
31881710,801309.14,349242.84,1.5,2,-99.70725
31881711,801311.41,349229.06,1.5,2,-99.82176
31881712,801311.11,349215.07,1.5,2,-100.3808
31881713,801308.11,349201.43,1.5,2,-98.46729
31881714,801306.29,349187.55,1.5,2,-97.75344
31881715,801304.86,349173.59,1.5,2,-99.2355
31881716,801304.13,349159.59,1.5,2,-100.5002
31881717,801304.16,349145.58,1.5,2,-98.75543
31881718,801305.17,349132.02,1.5,2,-99.51608
31881719,801307.9,349118.38,1.5,2,-96.49236
31881720,801315.27,349106.91,1.5,2,-96.75349
31881721,801327.05,349099.36,1.5,2,-94.45198
31881722,801336.13,349088.73,1.5,2,-96.68139
31881723,801345.01,349077.9,1.5,2,-91.63808
31881724,801353.32,349066.64,1.5,2,-93.52557
31881725,801361.32,349055.13,1.5,2,-93.54955
31881726,801369.67,349043.89,1.5,2,-95.9009
31881727,801377.51,349032.28,1.5,2,-97.05735
31881728,801385.5,349020.81,1.5,2,-97.50767
31881729,801392.33,349008.58,1.5,2,-95.9054
31881730,801399.65,348996.62,1.5,2,-96.40273
31881731,801409.16,348986.38,1.5,2,-96.75672
31881732,801419.64,348977.11,1.5,2,-94.01446
31881733,801426.86,348965.24,1.5,2,-95.18078
31881734,801433.29,348952.9,1.5,2,-95.39543
31881735,801440.17,348941,1.5,2,-94.61439
31881736,801443.92,348927.65,1.5,2,-92.64909
31881737,801441.31,348914.24,1.5,2,-89.58425
31881738,801428.35,348913.22,1.5,2,-87.15417
31881739,801390.89,348902.27,1.5,2,-87.60944
31881740,801377.3,348905.41,1.5,2,-87.84454
31881741,801364.08,348910.06,1.5,2,-87.75479
31881742,801337.5,348918.47,1.5,2,-89.26261
31881743,801325.52,348925.74,1.5,2,-88.43285
31881744,801272.69,348942.77,1.5,2,-89.99289
31881745,801259.18,348946.41,1.5,2,-92.15933
31881746,801219.4,348960.08,1.5,2,-92.75805
31881747,801205.83,348963.59,1.5,2,-92.96136
31881748,801179.18,348972.27,1.5,2,-94.43053
31881749,801167.47,348979.75,1.5,2,-94.78801
31881750,801157.65,348989.7,1.5,2,-92.45894
31881751,801148.08,348999.87,1.5,2,-96.24242
31881752,801116.09,349022.2,1.5,2,-98.57295
31881753,801102.34,349024.92,1.5,2,-96.65667
31881754,801089,349029.11,1.5,2,-99.2412
31881755,801077.23,349036.69,1.5,2,-99.68306
31881756,801066.15,349045.25,1.5,2,-98.14097
31881757,801055.03,349053.76,1.5,2,-99.74405
31881758,801039.58,349075.93,1.5,2,-102.7011
31881759,801042.06,349089.6,1.5,2,-102.0914
31881760,801050.53,349100.74,1.5,2,-102.7663
31881761,801060.28,349110.3,1.5,2,-103.4402
31881762,801071.25,349118.68,1.5,2,-102.8996
31881763,801080.63,349129.07,1.5,2,-100.3073
31881764,801091.49,349137.82,1.5,2,-100.7368
31881765,801100.01,349148.85,1.5,2,-101.3826
31881766,801106.4,349160.78,1.5,2,-100.8055
31881767,801115.78,349171.2,1.5,2,-102.5199
31881768,801125,349181.64,1.5,2,-104.6224
31881769,801135.79,349190.56,1.5,2,-105.212
31881770,801146.7,349199.32,1.5,2,-104.2554
31881771,801156.63,349209.22,1.5,2,-103.2237
31881772,801166.56,349219.08,1.5,2,-104.2095
31881773,801176.33,349229.1,1.5,2,-104.4308
31881774,801185.25,349239.85,1.5,2,-102.8779
31881775,801194.65,349250.18,1.5,2,-103.2608
31881776,801208.08,349253.7,1.5,2,-101.1139
31881777,801221.06,349249.42,1.5,2,-99.74539
31881778,801231.47,349240.24,1.5,2,-100.8532
31881779,801239.56,349228.95,1.5,2,-99.14606
31881780,801249.85,349219.43,1.5,2,-103.8062
31881781,801303.35,349209.11,1.5,2,-100.9362
31881782,801314.29,349201.09,1.5,2,-94.29553
31881783,801323.58,349190.61,1.5,2,-92.81056
31881784,801333.92,349181.2,1.5,2,-94.48405
31881785,801345.58,349173.42,1.5,2,-97.91575
31881786,801357.05,349165.37,1.5,2,-97.94112
31881787,801368.41,349157.13,1.5,2,-96.80956
31881788,801379.65,349148.77,1.5,2,-99.74205
31881789,801391.37,349141.27,1.5,2,-96.66532
31881790,801399.8,349130.14,1.5,2,-94.01447
31881791,801408.83,349119.51,1.5,2,-92.7457
31881792,801419.69,349110.66,1.5,2,-93.13538
31881793,801427.01,349099.56,1.5,2,-94.425
31881794,801429.08,349085.77,1.5,2,-95.55103
31881795,801428.34,349071.77,1.5,2,-97.63505
31881796,801432.98,349058.64,1.5,2,-97.72087
31881797,801440.69,349047.03,1.5,2,-95.29528
31881798,801439.34,349034.6,1.5,2,-90.36005
